Parent Organization,Contract Name,Organization Marketing Name
Mitchell Family Office ,AMERICAN HEALTH PLAN OF PENNSYLVANIA INC ,American Health Advantage of Pennsylvania 
"SNP Holdings, LLC ","WEST VIRGINIA SENIOR ADVANTAGE, INC. ",West Virginia Senior Advantage 
St Francis Health System & St John Health System ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",CommunityCare Senior Health Plan (HMO) 
"Rifkin Managed Care Holding, LLC ","PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC. ",Provider Partners Health Plans 
"AllCare Health, Inc. ","ALLCARE HEALTH PLAN, INC. ",AllCare Advantage 
Samaritan Health Services ,"SAMARITAN HEALTH PLANS, INC. ",Samaritan Advantage Health Plans 
ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans 
Hawaii Medical Service Association ,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA) ,HMSAs Medicare Rx Plan 
PacificSource ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare 
UPMC Health System ,"UPMC HEALTH BENEFITS, INC. ",UPMC Health Plan 
CAPITAL BLUE CROSS ,Avalon Insurance Company ,Avalon Insurance Company 
"Risant Health, Inc. ","GEISINGER QUALITY OPTIONS, INC. ",Geisinger Gold 
SANTA CLARA COUNTY HEALTH AUTHORITY ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Santa Clara Family Health Plan 
"Associated Care Ventures, Inc. ","SIMPRA ADVANTAGE, INC. ",Simpra Advantage 
"DOCTORS HEALTHCARE PLANS, INC. ","DOCTORS HEALTHCARE PLANS, INC. ","Doctors HealthCare Plans, Inc. "
"Missouri Healthcare Advisors, LLC ","NHC ADVANTAGE, LLC ",NHC Advantage 
"LMC Family Holdings, LLC ","LEON HEALTH, INC. ","Leon Health, Inc. "
"Zing Health Consolidator, Inc ","ZING HEALTH, INC. ",Zing Health 
The Regents of the University of California ,"NEW CENTURY HEALTH PLAN, INC. ",UCLA Health Medicare Advantage Plan 
"Troy Holdings, Inc. ","TROY HEALTH, INC. ",Troy Medicare 
Community Health Group ,COMMUNITY HEALTH GROUP ,Community Health Group 
Banner Health ,"BANNER HEALTH PLAN, INC. ",Banner Medicare Advantage 
Regency ISNP Holdings LLC ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Texas Independence Health Plan 
"Clover Health Holdings, Inc. ",CLOVER HMO OF NEW JERSEY INC. ,Clover Health 
"Verda Healthcare, Inc. ",VERDA HEALTH PLAN OF TEXAS INC ,Verda Health Plan of Texas 
"Marshfield Clinic Health System, Inc. ","SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Security Health Plan of Wisconsin, Inc. "
University of Wisconsin Hospitals and Clincs Autho ,QUARTZ HEALTH PLAN MN CORPORATION ,Quartz Medicare Advantage 
Sharp Healthcare ,SHARP HEALTH PLAN ,Sharp Health Plan 
Orange County Health Authority ,ORANGE COUNTY HEALTH AUTHORITY ,CalOptima Health OneCare 
Bexar County Hospital District ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Community First 
Imperial Health Plan of California ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ","Imperial Health Plan of California, Inc. "
Visiting Nurse Service of New York ,VNS CHOICE ,VNS Health Medicare 
Mercy Care ,MERCY CARE ,Mercy Care Advantage 
Denver Health and Hospital Authority ,"DENVER HEALTH MEDICAL PLAN, INC. ",Elevate Medicare Advantage 
Community Health Plan of Washington ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of WA Medicare Advantage 
AIDS Healthcare Foundation ,AIDS HEALTHCARE FOUNDATION ,AHF 
"CareOregon, Inc. ","HEALTH PLAN OF CAREOREGON, INC. ",CareOregon Advantage 
Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan 
"Universal Health Services, Inc. ",PROMINENCE HEALTHFIRST OF TEXAS ,Prominence Health Plan 
AlohaCare ,ALOHACARE ,AlohaCare 
Health Plan of San Mateo ,SAN MATEO HEALTH COMMISSION ,HEALTH PLAN OF SAN MATEO 
"Fenyx Health Holdings, Inc. ",FENYX HEALTH INSURANCE COMPANY ,Fenyx Health 
"Champion Health Plans-USA, LLC. ",RENAL PAYER SOLUTIONS INC ,Champion Health Plan 
McLaren Health Care Corporation ,"MCLAREN HEALTH PLAN, INC. ",McLaren Medicare 
Liberty Healthcare Insurance ,"LIBERTY ADVANTAGE, LLC ",Liberty Medicare Advantage 
CareSource ,"CARESOURCE OHIO, INC. ",CareSource MyCare Ohio 
"SIHO Holding, Inc. ","SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ",MyTruAdvantage 
University of Michigan Health ,UNIVERSITY OF MICHIGAN HEALTH MEDICARE ,University of Michigan Health Plan 
RiverSpring Living Holding Corp. ,"ELDERSERVE HEALTH, INC. ",RiverSpring Health Plans 
Mass General Brigham Incorporated ,"Mass General Brigham Health Plan, Inc. ",Mass General Brigham Health Plan 
"BMC Health System, Inc. ","BOSTON MEDICAL CENTER HEALTH PLAN, INC. ",WellSense Health Plan 
"Aspirus, Inc. ","ASPIRUS HEALTH PLAN, INC. ",Aspirus Health Plan 
"ISNP Holdings, LLC ","ISNP VENTURES, LLC ",KeyCare Advantage 
"Centers Plan for Healthy Living, LLC ","CENTERS PLAN FOR HEALTHY LIVING, LLC ",Centers Plan for Healthy Living 
Blue Cross Blue Shield of Kansas ,BLUE CROSS AND BLUE SHIELD OF KANSAS ,Blue Cross and Blue Shield of Kansas or Blue KC 
Memorial Hermann Health System ,MEMORIAL HERMANN HEALTH PLAN ,Memorial Hermann Health Plan 
Indiana University Health ,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC. ",Indiana University Health Plans 
"CareFirst, Inc. ","CAREFIRST ADVANTAGE PPO, INC ",CareFirst BlueCross BlueShield Group Prescription 
Group Health Cooperative of Eau Claire ,GROUP HEALTH COOPERATIVE OF EAU CLAIRE ,Group Health Cooperative of Eau Claire 
"Clever Care Health Plan, Inc. ","CLEVER CARE OF GOLDEN STATE, INC. ",Clever Care Health Plan 
Central Mass Health Holding LLC ,"CENTRAL MASS HEALTH, LLC ",Mass Advantage 
"CDS Monarch, Inc. ","ICIRCLE SERVICES OF THE FINGER LAKES, INC. ","iCircle Services of the Finger Lakes, Inc "
BlueCross BlueShield of South Carolina (BCBSSC) ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,Blue Cross Blue Shield of South Carolina 
Montage Health ,ASPIRE HEALTH PLAN ,Aspire Health 
Singh Holdings LLC ,"Healthy Mississippi, Inc. ","Healthy Mississippi, Inc. "
INLAND EMPIRE HEALTH PLAN ,Inland Empire Health Plan ,IEHP DualChoice 
"Fallon Community Health Plan, Inc. ",FALLON COMMUNITY HEALTH PLAN ,Fallon Health 
"West Virginia United Health System, Inc. ",PEAK HEALTH INSURANCE CORPORATION ,Peak Health 
Providence St Joseph Health ,PROVIDENCE HEALTH ASSURANCE ,Providence Medicare Advantage Plans 
VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,Nascentia Health Plus 
"LifeBridge Health, Inc. ","ALTERWOOD ADVANTAGE, INC. ",Alterwood Advantage 
NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND ,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND ,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND 
Ochsner Clinic Foundation ,"OCHSNER HEALTH PLAN, INC. ",Ochsner Health Plan 
Harris County Hospital District ,"COMMUNITY HEALTH CHOICE TEXAS, INC. ",Community Health Choice 
"PHSI, Inc. ","PARTNERS HEALTH PLAN, INC. ",Partners Health Plan 
"Independent Living Systems, LLC ","HPMP OF FLORIDA, INC. ",Florida Complete Care 
"BlueCross BlueShield Association, Federal Employee ",BLUE CROSS BLUE SHIELD ASSOCIATION ,Blue Cross Blue Shield Association 
"Elevance Health, Inc. & BCBSMA & BCBSRI & BCBSVT ",ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT ,Blue MedicareRx 
"MedImpact Holdings, Inc. ",MG INSURANCE COMPANY ,MG Insurance Company 
"Prime Therapeutics, LLC. ",GRANITE ALLIANCE INSURANCE COMPANY ,Granite Alliance 
"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD ","WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY ",MedicareBlue Rx 
Educators Mutual Insurance Association ,EDUCATORS MUTUAL INSURANCE ASSOCIATION ,EMI Health 
"Moda Partners, Inc. ","MODA HEALTH PLAN, INC. ","Moda Health Plan, Inc. "
