practitioner_role_id,telecom_system,telecom_value,telecom_use
practitioner-role-1003137407-183996,fax,3366605229,work
practitioner-role-1003137407-183997,phone,3368932440,work
practitioner-role-1003137407-183997,fax,3368932470,work
practitioner-role-1003137407-183998,phone,3364811730,work
practitioner-role-1003137407-183998,fax,3364811739,work
practitioner-role-1003137407-183999,phone,3364811730,work
practitioner-role-1003137407-183999,fax,3364811739,work
practitioner-role-1003137407-184000,phone,3367197892,work
practitioner-role-1003137407-184000,fax,3367197898,work
practitioner-role-1003137407-184001,phone,3368932440,work
practitioner-role-1003137407-184001,fax,3368932470,work
practitioner-role-1003137407-184002,phone,3364721191,work
practitioner-role-1003137407-184002,fax,3364721208,work
practitioner-role-1003137407-184003,phone,3367197892,work
practitioner-role-1003137407-184003,fax,3367197898,work
practitioner-role-1003137506-113657,phone,9708105612,work
practitioner-role-1003137506-113657,fax,9708105619,work
practitioner-role-1003137506-113658,phone,9708105612,work
practitioner-role-1003137506-113658,fax,9708105619,work
practitioner-role-1003137506-113659,phone,9708105612,work
practitioner-role-1003137506-113659,fax,9708105619,work
practitioner-role-1003137506-113660,phone,9708105612,work
practitioner-role-1003137506-113660,fax,9708105619,work
practitioner-role-1003137506-113661,phone,9708105612,work
practitioner-role-1003137506-113661,fax,9708105619,work
practitioner-role-1003137506-113662,phone,9708105612,work
practitioner-role-1003137506-113662,fax,9708105619,work
practitioner-role-1003137803-86014,phone,7756009449,work
practitioner-role-1003137803-86014,fax,7739904029,work
practitioner-role-1003137803-86015,phone,7756009449,work
practitioner-role-1003137803-86015,fax,7739904029,work
practitioner-role-1003137803-86016,phone,7756009449,work
practitioner-role-1003137803-86016,fax,7739904029,work
practitioner-role-1003137936-637488,phone,7208481800,work
practitioner-role-1003137936-637488,fax,7208482609,work
practitioner-role-1003137936-637489,phone,7208481800,work
practitioner-role-1003137936-637489,fax,7208482609,work
practitioner-role-1003137936-637490,phone,7208482233,work
practitioner-role-1003137936-637490,fax,7208481844,work
practitioner-role-1003137936-637491,phone,7208482233,work
practitioner-role-1003137936-637491,fax,7208481844,work
practitioner-role-1003137936-637492,phone,7208482233,work
practitioner-role-1003137936-637492,fax,7208481844,work
practitioner-role-1003137936-637493,phone,7205169425,work
practitioner-role-1003137936-637493,fax,7205169453,work
practitioner-role-1003137936-637494,phone,7208481800,work
practitioner-role-1003137936-637494,fax,7208482609,work
practitioner-role-1003137936-637495,phone,7208482233,work
practitioner-role-1003137936-637495,fax,7208481844,work
practitioner-role-1003137936-637496,phone,7208481800,work
practitioner-role-1003137936-637496,fax,7208482609,work
practitioner-role-1003137936-637497,phone,7208480000,work
practitioner-role-1003137936-637497,fax,0000000000,work
practitioner-role-1003137936-637498,phone,7208481800,work
practitioner-role-1003137936-637498,fax,7208482609,work
practitioner-role-1003137936-637499,phone,7205169425,work
practitioner-role-1003137936-637499,fax,7205169453,work
practitioner-role-1003137936-637500,phone,7208481800,work
practitioner-role-1003137936-637500,fax,7208482609,work
practitioner-role-1003137936-637501,phone,7208482233,work
practitioner-role-1003137936-637501,fax,7208484113,work
practitioner-role-1003137936-637502,phone,7205169373,work
practitioner-role-1003137936-637502,fax,7205163951,work
practitioner-role-1003137936-637503,phone,7205161000,work
practitioner-role-1003137936-637503,fax,7208480015,work
practitioner-role-1003137936-637504,phone,7208482233,work
practitioner-role-1003137936-637504,fax,7208481844,work
practitioner-role-1003137936-637505,phone,7205169373,work
practitioner-role-1003137936-637505,fax,7205163951,work
practitioner-role-1003137936-637506,phone,7208482233,work
practitioner-role-1003137936-637506,fax,7208481844,work
practitioner-role-1003137936-637507,phone,7208480000,work
practitioner-role-1003137936-637507,fax,0000000000,work
practitioner-role-1003137936-637508,phone,7208482233,work
practitioner-role-1003137936-637508,fax,7208484113,work
practitioner-role-1003137936-637509,phone,7208481800,work
practitioner-role-1003137936-637509,fax,7208482609,work
practitioner-role-1003137936-637510,phone,7208481800,work
practitioner-role-1003137936-637510,fax,7208482609,work
practitioner-role-1003137936-637511,phone,7208482233,work
practitioner-role-1003137936-637511,fax,7208481844,work
practitioner-role-1003137936-637512,phone,7208481800,work
practitioner-role-1003137936-637512,fax,7208482609,work
practitioner-role-1003137936-637513,phone,7208482233,work
practitioner-role-1003137936-637513,fax,7208484113,work
practitioner-role-1003137936-637514,phone,7208480000,work
practitioner-role-1003137936-637514,fax,0000000000,work
practitioner-role-1003137936-637515,phone,7208482233,work
practitioner-role-1003137936-637515,fax,7208484113,work
practitioner-role-1003137936-637516,phone,7205161000,work
practitioner-role-1003137936-637516,fax,7208480015,work
practitioner-role-1003137936-637517,phone,7208482233,work
practitioner-role-1003137936-637517,fax,7208481844,work
practitioner-role-1003137936-637518,phone,7208482233,work
practitioner-role-1003137936-637518,fax,7208484113,work
practitioner-role-1003137936-637519,phone,7208480000,work
practitioner-role-1003137936-637519,fax,0000000000,work
practitioner-role-1003137936-637520,phone,7208481800,work
practitioner-role-1003137936-637520,fax,7208482609,work
practitioner-role-1003137936-637521,phone,7205161000,work
practitioner-role-1003137936-637521,fax,7208480015,work
practitioner-role-1003137936-637522,phone,7205161000,work
practitioner-role-1003137936-637522,fax,7208480015,work
practitioner-role-1003137936-637523,phone,7208482233,work
practitioner-role-1003137936-637523,fax,7208484113,work
practitioner-role-1003137936-637524,phone,7208482233,work
practitioner-role-1003137936-637524,fax,7208481844,work
practitioner-role-1003137936-637525,phone,7208482233,work
practitioner-role-1003137936-637525,fax,7208481844,work
practitioner-role-1003137936-637526,phone,7208481800,work
practitioner-role-1003137936-637526,fax,7208482609,work
practitioner-role-1003137936-637527,phone,7208481800,work
practitioner-role-1003137936-637527,fax,7208482609,work
practitioner-role-1003137936-637528,phone,7205169373,work
practitioner-role-1003137936-637528,fax,7205163951,work
practitioner-role-1003137936-637529,phone,7208482233,work
practitioner-role-1003137936-637529,fax,7208481844,work
practitioner-role-1003137936-637530,phone,7208481800,work
practitioner-role-1003137936-637530,fax,7208482609,work
practitioner-role-1003137936-637531,phone,7205169425,work
practitioner-role-1003137936-637531,fax,7205169453,work
practitioner-role-1003137936-637532,phone,7205161000,work
practitioner-role-1003137936-637532,fax,7208480015,work
practitioner-role-1003137936-637533,phone,7208481800,work
practitioner-role-1003137936-637533,fax,7208482609,work
practitioner-role-1003137936-637534,phone,7205161000,work
practitioner-role-1003137936-637534,fax,7208480015,work
practitioner-role-1003137936-637535,phone,7208482233,work
practitioner-role-1003137936-637535,fax,7208481844,work
practitioner-role-1003137936-637536,phone,7208480000,work
practitioner-role-1003137936-637536,fax,0000000000,work
practitioner-role-1003137936-637537,phone,7208481800,work
practitioner-role-1003137936-637537,fax,7208482609,work
practitioner-role-1003137936-637538,phone,7208481800,work
practitioner-role-1003137936-637538,fax,7208482609,work
practitioner-role-1003137936-637539,phone,7208481800,work
practitioner-role-1003137936-637539,fax,7208482609,work
practitioner-role-1003137936-637540,phone,7208481800,work
practitioner-role-1003137936-637540,fax,7208482609,work
practitioner-role-1003137936-637541,phone,7208480000,work
practitioner-role-1003137936-637541,fax,0000000000,work
practitioner-role-1003138066-169033,phone,7709178190,work
practitioner-role-1003138066-169033,fax,7705297161,work
practitioner-role-1003138066-169034,phone,6783551620,work
practitioner-role-1003138066-169034,fax,7704203422,work
practitioner-role-1003138066-169035,phone,7709178190,work
practitioner-role-1003138066-169035,fax,7705297161,work
practitioner-role-1003138066-169036,phone,6783551620,work
practitioner-role-1003138066-169036,fax,7704203422,work
practitioner-role-1003138066-169037,phone,7705050023,work
practitioner-role-1003138066-169037,fax,7705059003,work
practitioner-role-1003138066-169038,phone,7705050023,work
practitioner-role-1003138066-169038,fax,7705059003,work
practitioner-role-1003138868-19902,phone,8783324049,work
practitioner-role-1003138868-19902,fax,8783324475,work
