"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Medicare","H2056","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","8,151","28588 Northwestern Hwy, Suite 380B","","Southfield","MI","48034","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/06/2018"
"AETNA BETTER HEALTH OF OKLAHOMA INC.","Aetna Medicare","H4835","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","2,765","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF TEXAS INC.","Aetna Medicare","H8597","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Atlanta","20,236","750 W. Carpenter Freeway, Suite 1200","","Irving","TX","75039","Lead Director, D-SNP Prog","Penn","Linda","","1-682-760-0262","","","PennL1@aetna.com","CVS Irving Tower","750 W. John Carpenter Freeway","Irving","TX","75039","06/21/2022"
"AETNA BETTER HEALTH OF WASHINGTON, INC.","Aetna Medicare","H3748","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","8,050","600 University St.","Suite 920","Seattle","WA","98101","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/10/2018"
"AETNA BETTER HEALTH PREMIER PLAN MMAI INC.","Aetna Better Health Premier Plan","H2506","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","CVS Health Corporation","Dallas","14,315","3200 Highland Ave.","Third Floor MC F661","Downers Grove","IL","60515","Director of Provider Expe","Koblens","Matt","","1-866-600-2139","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","05/28/2025"
"AETNA BETTER HEALTH, INC. (LA)","Aetna Medicare","H3239","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Atlanta","36,529","2400 Veterans Memorial Boulevard, Suite 200","","Kenner","LA","70062","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/25/2018"
"AETNA HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","H3288","Local CCP","Local PPO","01/01/2020","For Profit","CVS Health Corporation","Atlanta","66,639","151 Farmington Ave.","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/10/2018"
"AETNA HEALTH INC. (CT)","Aetna Medicare","H5793","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","CVS Health Corporation","Atlanta","32,480","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (FL)","Aetna Medicare","H1609","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","CVS Health Corporation","Atlanta","136,805","261 North University Drive","","Plantation","FL","33324","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AETNA HEALTH INC. (GA)","Aetna Medicare","H5302","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","CVS Health Corporation","Atlanta","19,716","2000 RiverEdge Parkway","Suite 200","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (LA)","Aetna Medicare","H3928","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CVS Health Corporation","Atlanta","3,690","2400 Veterans Memorial Blvd., Suite 200","","Kenner","LA","70062","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AETNA HEALTH INC. (ME)","Aetna Medicare","H3597","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Atlanta","22,515","191 Marginal Way, Suite G","","Portland","ME","04101","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (NJ)","Aetna Medicare","H3152","Local CCP","HMO/HMOPOS","09/01/1993","For Profit","CVS Health Corporation","Atlanta","27,145","9 Entin Road","Suite 203","Parsippany","NJ","07054","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (NY)","Aetna Medicare","H3312","Local CCP","HMO/HMOPOS","10/01/1986","For Profit","CVS Health Corporation","Atlanta","83,370","101 Park Avenue, 15th Floor","","New York","NY","10178","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H7149","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Atlanta","9,976","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H3931","Local CCP","HMO/HMOPOS","11/01/1985","For Profit","CVS Health Corporation","Atlanta","108,423","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H3959","Local CCP","HMO/HMOPOS","01/01/1996","For Profit","CVS Health Corporation","Atlanta","212,394","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AETNA HEALTH INC. (TX)","Aetna Medicare","H4523","Local CCP","HMO/HMOPOS","08/01/2005","For Profit","CVS Health Corporation","Atlanta","30,679","750 West John Carpenter Fwy. Suite 1200","","Irving","TX","75039","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC.(GA)","Aetna Medicare","H1109","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","CVS Health Corporation","Atlanta","1,013","2000 RiverEdge Parkway","Suite 200","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","H5309","Local CCP","Local PPO","01/01/2024","For Profit","CVS Health Corporation","Atlanta","6,169","1401 Willow Pass Road, Suite 600","","Concord","CA","94520","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","05/22/2025"
"AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","H0523","Local CCP","HMO/HMOPOS","05/01/1986","For Profit","CVS Health Corporation","Atlanta","14,230","1401 Willow Pass Road, Suite 600","","Concord","CA","94520","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH OF IOWA INC.","Aetna Medicare","H5593","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","3,327","4170 NW 114th Street","","Urbandale","IA","50322","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA HEALTH OF MICHIGAN INC.","Aetna Medicare","H3192","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","40,050","28588 Northwestern Hwy., Suite 380B","","Southfield","MI","48034","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/07/2018"
"AETNA HEALTH OF OHIO INC.","Aetna Medicare","H0628","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","92,762","7400 West Campus Road","","New Albany","OH","43054","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/06/2018"
"AETNA HEALTH OF UTAH INC.","Aetna Medicare","H8649","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Atlanta","5,327","10150 S Centennial Parkway","Suite 450","Sandy","UT","84070","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AETNA LIFE INSURANCE COMPANY","Aetna Medicare","H5521","Local CCP","Local PPO","01/01/2006","For Profit","CVS Health Corporation","Atlanta","1,082,422","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA LIFE INSURANCE COMPANY","Aetna Medicare","R6694","Regional CCP","Regional PPO","01/01/2016","For Profit","CVS Health Corporation","Atlanta","1,370","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/12/2015"
"AETNA LIFE INSURANCE COMPANY","Aetna Medicare","H5522","Local CCP","Local PPO","01/01/2006","For Profit","CVS Health Corporation","Atlanta","1,414,215","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"AGEWELL PACE","AgeWell PACE","H2541","National PACE","National PACE","07/01/2023","Not-for-Profit/Non-Profit","AgeWell PACE","San Francisco","120","5789 State Farm Drive, #110","","Rohnert Park","CA","94928","Assistant","Mourgos","Diane","","1-707-615-4437","","","dmourgos@agewell.org","5789 State Farm Dr Suite 110","","Rohnert Park","CA","94928","07/09/2024"
"AIDS HEALTHCARE FOUNDATION","AHF","H5852","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","AIDS Healthcare Foundation","Boston","608","6255 W. Sunset Blvd., 21st Floor","1710 N. La Brea Ave., Los Angeles, CA 90046","Los Angeles","CA","90028","Health Plan Administrator","O'Malley","Michael","","1-833-267-6768","","1-888-235-8482","michael.omalley@aidshealth.org","6255 W Sunset Blvd 21st Floor","","Los Angeles","CA","90028","12/22/2023"
"ALBRIGHT CARE SERVICES","ALBRIGHT CARE SERVICES","H9068","National PACE","National PACE","01/01/2012","Not-for-Profit/Non-Profit","Asbury Communities, Inc.","Philadelphia","210","90 Maplewood Drive","","Lewisburg","PA","17837","Sr. VP of LIFE","Fury","Melissa","","1-570-522-3880","","1-570-524-9068","Mfury@albrightcare.org","90 Maplewood Drive","","Lewisburg","PA","17837","08/15/2024"
"ALEXIAN BROTHERS COMMUNITY SERVICES","Ascension Living Alexian PACE","H4402","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Ascension Health Alliance","Atlanta","255","425 CUMBERLAND STREET, Suite 110","Suite 110","CHATTANOOGA","TN","37404","Marketing Director","Thompson","Sierra","","1-423-698-0802","","","sierra.thompson@ascension.org","425 Cumberland Street","","Chattanooga","TN","37404","01/24/2023"
"ALIGN SENIOR CARE CALIFORNIA INC.","Align Senior Care","H3274","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Curana Health Holdings, LLC","Chicago","440","10900 Nuckols Road","","Glen Allen","VA","23060","","Sindlinger","Rocio","","1-855-855-0489","","","rocio.sindlinger@curanahealth.com","PO BOX 4440","","Glen Allen","VA","23058","10/08/2024"
"ALIGN SENIOR CARE FLORIDA, INC.","Align Senior Care","H9917","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Curana Health Holdings, LLC","Chicago","161","8270 Woodland Center Blvd","","Tampa","FL","33614","","Sindlinger","Rocio","","1-855-855-0489","","","rocio.sindlinger@curanahealth.com","PO BOX 4440","","Glen Allen","VA","23058","10/08/2024"
"ALIGN SENIOR CARE MI, LLC","Align Senior Care","H6832","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Curana Health Holdings, LLC","Chicago","960","20600 Telegraph Road","Suite 2345","Bingham Farms","MI","48025","","Sindlinger","Rocio","","1-855-855-0489","","","rocio.sindlinger@curanahealth.com","PO BOX 4440","","Glen Allen","VA","23058","10/08/2024"
"ALIGN SENIOR CARE, INC.","Align Senior Care","H1277","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Curana Health Holdings, LLC","Chicago","57","10900 Nuckols Road","Suite 110","Glen Allen","VA","23060","","Sindlinger","Rocio","","1-855-855-0489","","","rocio.sindlinger@curanahealth.com","PO BOX 4440","","Glen Allen","VA","23058","10/08/2024"
"ALIGNMENT HEALTH ADVANTAGE PLAN INC","Alignment Health Plan","H8832","Local CCP","Local PPO","01/01/2025","For Profit","Alignment Healthcare USA, LLC","Chicago","1,482","1100 W. Town and Country Road","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC","Alignment Health Plan","H5472","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Alignment Healthcare USA, LLC","Chicago","6,155","1100 W Town and Country Rd","1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH PLAN","Alignment Health Plan","H4961","Local CCP","Local PPO","01/01/2020","For Profit","Alignment Healthcare USA, LLC","Chicago","4,837","1100 W Town & Country Rd.","1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH PLAN","Alignment Health Plan","H3815","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","Alignment Healthcare USA, LLC","Chicago","182,543","1100 W. Town and Country Road","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH PLAN OF ARIZONA, INC.","Alignment Health Plan","H3443","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Alignment Healthcare USA, LLC","Chicago","5,687","1100 W Town and Country Rd","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","04/11/2025"
"ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Health Plan","H9686","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Alignment Healthcare USA, LLC","Chicago","1,812","1100 W. Town and Country Rd","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","H5296","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Alignment Healthcare USA, LLC","Chicago","19,418","1100 W. Town and Country Rd","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","05/16/2025"
"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","H7074","Local CCP","Local PPO","01/01/2022","For Profit","Alignment Healthcare USA, LLC","Chicago","161","1100 W Town and Country Rd","Suite 1600","Orange","CA","92868","CEO","Maroney","Dawn","","1-844-310-2247","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","04/11/2025"
"ALLCARE HEALTH PLAN, INC.","AllCare Advantage","H3810","Local CCP","HMO/HMOPOS","05/01/2005","For Profit","AllCare Health, Inc.","Dallas","2,532","1701 NE 7th Street","","GRANTS PASS","OR","97526","Director of Marketing","LaFond","Nicole","","1-888-460-0185","8113","1-541-471-1524","nicole.lafond@allcarehealth.com","1701 NE 7th Street","","Grants Pass","OR","97526","04/28/2023"
"ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","H2322","Local CCP","Local PPO","08/01/2005","For Profit","Henry Ford Health System","Chicago","16,441","2850 WEST GRAND BLVD.","","Detroit","MI","48202","VP-Enterprise Operations","Spencer","Heather","","1-248-776-3808","","","hspence2@hap.org","1414 E. Maple Rd","","Troy","MI","48083","03/03/2025"
"ALLINA HEALTH AND AETNA INSURANCE COMPANY","Allina Health Aetna Medicare","H3219","Local CCP","Local PPO","01/01/2019","For Profit","Allina Health and Aetna Insurance Holding Company","Atlanta","29,435","1550 Utica Avenue South, Suite 250","","St. Louis Park","MN","55416","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"ALOHACARE","AlohaCare","H5969","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","AlohaCare","Boston","2,118","1357 Kapiolani Blvd., Suite G101","","Honolulu","HI","96814","","Customer Service","AlohaCare","","1-808-973-6395","","1-808-973-7410","info@alohacare.org","1357 Kapiolani Blvd., Suite G101","","Honolulu","HI","96814","03/03/2022"
"ALTAMED HEALTH SERVICES CORPORATION","AltaMed Health Services Corporation","H0542","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Altamed Health Services Corporation","San Francisco","3,287","2040 Camfield Ave.","","Los Angeles","CA","90040","Senior VP and Chief Opera","Garg","Joyita","","1-323-558-7750","","","jogarg@altamed.org","2040 Camfield Ave","","Los Angeles","CA","90040","08/29/2023"
"ALTERWOOD ADVANTAGE, INC.","Alterwood Advantage","H9306","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","LifeBridge Health, Inc.","Seattle","9,561","PO Box 4175","","Timonium","MD","21904","Chief Operating Officer","Margolit","David","","1-667-262-9412","","","providers@alterwoodhealth.com","PO Box 4175","","Timonium","MD","21094","05/08/2023"
"AMARILLO MULTISVC CTR FR THE AGING INC","The Basics at Jan Werner","H4517","National PACE","National PACE","03/01/2004","Not-for-Profit/Non-Profit","Amarillo Multisvc Ctr Fr the Aging Inc","Atlanta","124","3108 SOUTH FILLMORE STREET","","AMARILLO","TX","79110","Executive Director","Hurt","Kristen","R","1-806-374-5516","","1-806-373-9446","krissy@janwerneradultdaycare.org","3108 S Fillmore","","Amarillo","TX","79110","09/08/2020"
"AMERICAN HEALTH PLAN OF FL, INC.","American Health Advantage of Florida","H6652","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Mitchell Family Office","Dallas","","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-855-521-0626","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF INDIANA INC","American Health Advantage of Indiana","H9690","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Mitchell Family Office","Dallas","431","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-844-657-0447","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF IOWA INC","Iowa Health Advantage","H6765","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Mitchell Family Office","Dallas","1,236","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-866-327-0523","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF MISSOURI, INC.","American Health Advantage of Missouri","H4490","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","Mitchell Family Office","Dallas","569","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-844-228-7934","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF MS, INC.","American Health Advantage of MS","H9909","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Mitchell Family Office","Dallas","622","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-844-917-0642","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF PENNSYLVANIA INC","American Health Advantage of Pennsylvania","H9968","Local CCP","HMO/HMOPOS","01/01/2025","For Profit","Mitchell Family Office","Dallas","301","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-844-321-1763","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF TX, INC.","American Health Advantage of Texas","H6891","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Mitchell Family Office","Dallas","486","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-855-521-0628","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN OF UT, INC.","American Health Advantage of Utah","H4232","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Mitchell Family Office","Dallas","223","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-855-521-0627","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"AMERICAN HEALTH PLAN, INC.","American Health Advantage of Tennessee","H7779","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Mitchell Family Office","Dallas","538","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-844-321-1763","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
